Año;Mes.de.choque;Rango.horario;Cantidad.de.lesionados;addresses;Coordenada.X;Coordenada.Y;lon;lat;direccion
2016;Julio;0 a 5:59;1;BELGRANO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5440618,05;6355597,17;-60,6352624;-32,9410021;Av. San Martín & Av. Belgrano, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ABANDERADO GRANDOLI Y BIEDMA,Rosario,Santa Fe,Argentina;5441283,42;6350736,8;-60,6282114;-32,9847335;Av. Abanderado Grandoli & Cnel. M. Biedma, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;3 DE FEBRERO Y SUIPACHA,Rosario,Santa Fe,Argentina;5437744,6;6354774,27;-60,6657759;-32,9481772;Suipacha & 3 de Febrero, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;CONSTITUCION Y DR RIVAS,Rosario,Santa Fe,Argentina;5436147,5;6351528,73;-60,6830874;-32,9773094;Constitución & Dr. Riva, S2004 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ITUZAINGO Y PROVINCIAS UNIDAS,Rosario,Santa Fe,Argentina;5433415,2;6354295,43;-60,7120503;-32,9521997;Ituzaingó & Av. Provincias Unidas, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;J CASALS Y SANGUINETTI,Rosario,Santa Fe,Argentina;5434788,56;6352122,22;-60,6975467;-32,9718921;J. de Casal & Sanguinetti, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;25 DE MAYO Y JUAN JOSE PASO,Rosario,Santa Fe,Argentina;5432314,79;6357797,78;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;EVA PERON 6000,Rosario,Santa Fe,Argentina;5434070,86;6356247,4;-60,7048425;-32,9344244;Av. Eva Perón 6000, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;IRIONDO Y PTE QUINTANA,Rosario,Santa Fe,Argentina;5436555,92;6351577,62;-60,6787186;-32,9768954;Iriondo & Pres. Quintana, S2004 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ENTRE RIOS Y TUCUMAN,Rosario,Santa Fe,Argentina;5440167,99;6355546,49;-60,6397698;-32,9413035;Tucumán & Entre Ríos, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;AMEGHINO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5439618,92;6350415,6;-60,6459409;-32,9875661;Ameghino & Av. San Martín, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;EVA PERON Y WILDE,Rosario,Santa Fe,Argentina;5430870,25;6356926,32;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;LARREA Y MONTEVIDEO,Rosario,Santa Fe,Argentina;5434825,97;6354876,82;-60,6969913;-32,9470301;Larrea & Montevideo, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;25  DE MAYO Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5436741,95;6348141,68;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;CASIANO CASAS Y WASHINGTON,Rosario,Santa Fe,Argentina;5434435,06;6359706,28;-60,7007434;-32,9034699;Washington & Av. Casiano Casas, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;BERUTI Y RIOBAMBA,Rosario,Santa Fe,Argentina;5441638,12;6352789,04;-60,6242629;-32,9662539;Riobamba & Berruti, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;DORREGO Y SEGUI,Rosario,Santa Fe,Argentina;5438543,16;6351566,96;-60,6574672;-32,9771816;Dorrego & Bv. Seguí, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;CASIANO CASAS Y F NETRI,Rosario,Santa Fe,Argentina;5434587,92;6359573,36;-60,6991439;-32,9046236;Netri & Av. Casiano Casas, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ITALIA Y SAN JUAN,Rosario,Santa Fe,Argentina;5439330,93;6354751,88;-60,648822;-32,9484604;San Juan & Italia, S2000 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;BELGRANO Y SARGENTO CABRAL,Rosario,Santa Fe,Argentina;5440716,36;6355339,25;-60,6341066;-32,9430418;Sgto Cabral & Av. Belgrano, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;AYOLAS Y ABANDERADO GRANDOLI,Rosario,Santa Fe,Argentina;5441321,11;6351260,28;-60,628169;-32,98733;Av. Abanderado Grandoli 4041, S2001FAC Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;MENDOZA Y PERU,Rosario,Santa Fe,Argentina;5433473,03;6355626,1;-60,7113985;-32,9401302;Perú & Mendoza, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;ARIJON Y OROÑO,Rosario,Santa Fe,Argentina;5437858,29;6348633,53;-60,6651576;-33,0034992;Av. Arijon & Bv. Oroño, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;CATAMARCA Y FRANCIA,Rosario,Santa Fe,Argentina;5437896,56;6356152,67;-60,6641701;-32,9356796;Catamarca & Av. Francia, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;GUALEGUAY Y URQUIZA,Rosario,Santa Fe,Argentina;5435869,08;6356299,05;-60,6857357;-32,9342586;Gualeguay & Urquiza, S2002 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;DR RIVA Y SAN MARTIN,Rosario,Santa Fe,Argentina;5439686,98;6350800,13;-60,6453309;-32,9840576;Dr. Riva & Av. San Martín, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;2;OROÑO Y SEGUI,Rosario,Santa Fe,Argentina;5438161,8;6351644,86;-60,6614377;-32,9762975;Bv. Seguí & Bv. Oroño, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;27 DE FEBRERO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5439979,86;6352596,8;-60,6420133;-32,9679238;Av. San Martín & Bv. 27 de Febrero, Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;J M GUTIERREZ Y OWEN,Rosario,Santa Fe,Argentina;5437632,49;6349621,57;-60,6673111;-32,994594;Owen & J. M. Gutiérrez, S2004 Rosario, Santa Fe, Argentina
2016;Julio;0 a 5:59;1;9 DE JULIO Y SARMIENTO,Rosario,Santa Fe,Argentina;5440154,56;6354157,48;-60,6400111;-32,9538281;9 de Julio & Sarmiento, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59 ;1;CONSTITUCION Y SEGUI,Rosario,Santa Fe,Argentina;5436251,54;6352038,91;-60,6819216;-32,9726609;Constitución & Bv. Seguí, S2004 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ANCHORENA Y BALCARCE,Rosario,Santa Fe,Argentina;5437986,04;6349221,51;-60,6635602;-32,9982286;Anchorena & Balcarce, S2011 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;3 DE FEBRERO Y RODRIGUEZ,Rosario,Santa Fe,Argentina;5438254,23;6354669,21;-60,6603221;-32,9491244;Rodríguez & 3 de Febrero, S2000 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;BROWN Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5438359,15;6356462,07;-60,6590884;-32,9329605;Brown & Av. Ovidio Lagos, S2002 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;3;ESPAÑA Y VIRASORO,Rosario,Santa Fe,Argentina;5439007,09;6352533,34;-60,6524087;-32,9684114;Virasoro & España, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;GOMENSORO Y ROCA,Rosario,Santa Fe,Argentina;5439098.58;6352315.22;-60,6514753;-32,9703928;Gomensoro & Pte. Roca, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;LAPRIDA Y PASCO,Rosario,Santa Fe,Argentina;5440391,73;6353443,71;-60,637535;-32,9602523;Pasco & Laprida, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;EVA PERON Y WILDE,Rosario,Santa Fe,Argentina;5430870,25;6356926,32;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;1 DE MAYO Y SEGUI,Rosario,Santa Fe,Argentina;5440373,71;6351190,78;-60,6379209;-32,9806729;1 de Mayo & Bv. Seguí, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;2;ALZUGARAY Y BERMUDEZ,Rosario,Santa Fe,Argentina;5439999,26;6347615,09;-60,6421323;-33,0128105;Alzugaray & Av Bermúdez, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;SAN JUAN 5300,Rosario,Santa Fe,Argentina;5434903,73;6355600,78;-60,6959692;-32,9406477;San Juan 5300, S2008BOH Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;DONADO Y MORRISON,Rosario,Santa Fe,Argentina;5431949,22;6357250,87;-60,7275337;-32,9254761;Av. Morrison & Donado Bis, S2007 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CONSTITUCION,Rosario,Santa Fe,Argentina;;;-60,6784773;-32,9589657;Constitución, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CAMILO ALDAO Y MONTEVIDEO,Rosario,Santa Fe,Argentina;5434944,25;6354881,41;-60,6957031;-32,9469858;Montevideo & Camilo Aldao, S2002 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;TTE AGNETA Y URQUIZA,Rosario,Santa Fe,Argentina;5434522,81;6356422,76;-60,7001184;-32,9331094;Tte. Agneta & Urquiza, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;BOMAN Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5436899,59;6349163,75;-60,6750132;-32,9986885;Boman & Av. Ovidio Lagos, S2004 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;SAN MARTIN 3200,Rosario,Santa Fe,Argentina;5439841,37;6351817,08;-60,6438203;-32,9748688;Av. San Martín 3200, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;25  DE MAYO Y J J PASO,Rosario,Santa Fe,Argentina;5432314,79;6357797,78;-60,5647778;-33,0790196;J. J. Paso & 1 de Mayo, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;1 DE MAYO Y 3 DE FEBRERO,Rosario,Santa Fe,Argentina;5440972,81;6354119,64;-60,631298;-32,9542036;1 de Mayo & 3 de Febrero, S2000 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;MONTEVIDEO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5440243,29;6353871,93;-60,6391022;-32,956385;Montevideo & Av. San Martín, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;OROÑO Y PELLEGRINI,Rosario,Santa Fe,Argentina;5438658,82;6354063,85;-60,659988;-32,969051;Bv. Oroño 2970, S2001SPO Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ARIJON Y MARIANO MORENO,Rosario,Santa Fe,Argentina;5438142,2;6348645,71;-60,6619297;-33,0034146;Mariano Moreno & Av. Arijon, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;BAIGORRIA Y MOLINA,Rosario,Santa Fe,Argentina;5434061,2;6360778,83;-60,70475;-32,8937717;Molina & Baigorria, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ACEVEDO ING ARTURO Y FRANCIA,Rosario,Santa Fe,Argentina;5436714,84;6350765,1;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;MITRE Y TUCUMAN,Rosario,Santa Fe,Argentina;5440300,68;6355518,72;-60,6383889;-32,9415873;Mitre & Tucumán, Rosario, Santa Fe, Argentina
